0x0000 .null
0x0153 oe
0x02C6 circumflex
0x02DA ring
0x02DC tilde
0x2013 endash
0x2014 emdash
0x2018 quoteleft
0x2019 quoteright
0x201A quotesinglbase
0x201C quotedblleft
0x201D quotedblright
0x201E quotedblbase
0x2022 bullet
0x2026 ellipsis
0x2039 guilsinglleft
0x203A guilsinglright
0x2044 fraction
0x2074 uni2074
0x20AC Euro
0x2212 minus
0x2215 uni2215
0xE0FF uniE0FF
0xEFFD uniEFFD
0xF000 uniF000
0x0400 uni0400
0x0401 afii10023
0x0402 afii10051
0x0403 afii10052
0x0404 afii10053
0x0405 afii10054
0x0406 afii10055
0x0407 afii10056
0x0408 afii10057
0x0409 afii10058
0x040A afii10059
0x040B afii10060
0x040C afii10061
0x040D uni040D
0x040E afii10062
0x040F afii10145
0x0410 afii10017
0x0411 afii10018
0x0412 afii10019
0x0413 afii10020
0x0414 afii10021
0x0415 afii10022
0x0416 afii10024
0x0417 afii10025
0x0418 afii10026
0x0419 afii10027
0x041A afii10028
0x041B afii10029
0x041C afii10030
0x041D afii10031
0x041E afii10032
0x041F afii10033
0x0420 afii10034
0x0421 afii10035
0x0422 afii10036
0x0423 afii10037
0x0424 afii10038
0x0425 afii10039
0x0426 afii10040
0x0427 afii10041
0x0428 afii10042
0x0429 afii10043
0x042A afii10044
0x042B afii10045
0x042C afii10046
0x042D afii10047
0x042E afii10048
0x042F afii10049
0x0430 afii10065
0x0431 afii10066
0x0432 afii10067
0x0433 afii10068
0x0434 afii10069
0x0435 afii10070
0x0436 afii10072
0x0437 afii10073
0x0438 afii10074
0x0439 afii10075
0x043A afii10076
0x043B afii10077
0x043C afii10078
0x043D afii10079
0x043E afii10080
0x043F afii10081
0x0440 afii10082
0x0441 afii10083
0x0442 afii10084
0x0443 afii10085
0x0444 afii10086
0x0445 afii10087
0x0446 afii10088
0x0447 afii10089
0x0448 afii10090
0x0449 afii10091
0x044A afii10092
0x044B afii10093
0x044C afii10094
0x044D afii10095
0x044E afii10096
0x044F afii10097
0x0450 uni0450
0x0451 afii10071
0x0452 afii10099
0x0453 afii10100
0x0454 afii10101
0x0455 afii10102
0x0456 afii10103
0x0457 afii10104
0x0458 afii10105
0x0459 afii10106
0x045A afii10107
0x045B afii10108
0x045C afii10109
0x045D uni045D
0x045E afii10110
0x045F afii10193
0x0490 afii10050
0x0491 afii10098
0x04B0 uni04B0
0x04B1 uni04B1
0x2116 uni2116
